XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
1.5558749,0.076811537,0.38361448,0.036513362
1.561875,0.09974467,0.41549319,0.033331294
1.5658751,0.094802648,0.44534412,0.056030229
1.570875,0.087379053,0.48750409,0.060192354
1.575875,0.098412506,0.44623905,0.046564788
1.581875,0.074983172,0.44507533,0.04252978
1.585875,0.087667666,0.41495612,0.047212813
1.590875,0.079393677,0.42007101,0.015301046
1.595875,0.074948944,0.42509782,0.036827687
1.6003751,0.044581939,0.38680655,0.013379891
1.6053751,0.067362502,0.39727241,0.037171043
1.610375,0.083635874,0.36644688,0.024807794
1.615375,0.086662427,0.28696883,0.027729895
1.620375,0.049373388,0.16190542,0.035326507
1.625375,0.0670406,0.041342124,0.035817243
1.630375,0.09375488,-0.066042818,0.026925664
1.635375,0.10180859,-0.13123842,-0.0093110679
1.640375,0.11842057,-0.24400952,-0.019726329
1.645375,0.12526043,-0.27697557,-0.088217057
1.650375,0.13257734,-0.3620654,-0.080777302
1.655375,0.10826226,-0.30174389,-0.092017338
1.660375,0.12987855,-0.20291977,-0.095820412
1.665375,0.15763298,-0.10583938,-0.094520308
1.671375,0.16031818,-0.027985832,-0.070637353
1.675375,0.16728844,0.06394463,-0.081885934
1.680375,0.1736677,0.12863417,-0.096929155
1.685375,0.17212632,0.10929436,-0.069438785
1.690375,0.17143711,0.10605228,-0.068094052
1.695375,0.19077522,0.053198956,-0.064937904
1.701375,0.17692634,0.038894862,-0.060204837
1.705375,0.16667426,-0.0077472101,-0.064337157
1.710375,0.13976197,-0.053440209,-0.040768836
1.7153749,0.13908714,-0.081526205,0.0078946231
1.7203749,0.11287313,-0.11268115,0.042147692
1.726375,0.10409804,-0.10280421,0.060971126
1.7303751,0.093826056,-0.09906666,0.092153132
1.735375,0.064699978,-0.12489016,0.1132605
1.741375,0.025441892,-0.21529265,0.12483007
1.745375,0.011502414,-0.27358434,0.12988824
1.750375,-0.014779455,-0.36607727,0.13713819
1.755375,-0.06021731,-0.45431492,0.13053811
1.760375,-0.076216333,-0.54385889,0.12098686
1.765375,-0.093190558,-0.63499576,0.10515995
1.770375,-0.1296552,-0.66557252,0.098460443
1.775375,-0.13879012,-0.65217,0.10070011
1.780375,-0.13422033,-0.57935184,0.09399195
1.785375,-0.141087,-0.50478089,0.078484178
1.790375,-0.12820679,-0.42185363,0.068161301
1.796375,-0.15626952,-0.26030764,0.028557312
1.800375,-0.11923339,-0.18004301,0.0019789196
1.805375,-0.10885835,-0.083689503,-0.01731961
1.810375,-0.12532058,0.035949405,-0.046974946
1.815375,-0.14927483,0.11962967,-0.059482589
1.820375,-0.13242735,0.14803034,-0.065317564
1.826375,-0.11777228,0.17581557,-0.063421071
1.830375,-0.11061642,0.19378211,-0.056554198
1.835375,-0.10798673,0.23897548,-0.057464264
1.8403749,-0.093976393,0.26149312,-0.055201486
1.8453749,-0.10066489,0.32290119,-0.047827493
1.8503751,-0.12739287,0.32440352,-0.073651411
1.8553751,-0.11351757,0.39382213,-0.073118024
1.860375,-0.077265121,0.47309697,-0.061000973
1.865375,-0.014808662,0.40098989,-0.049761783
1.870375,-0.046487913,0.39184701,-0.03140606
1.875375,-0.012726098,0.38116094,-0.017364563
1.881375,-0.0040958552,0.35751447,0.0014850552
1.885375,-0.050628878,0.34736824,0.017948972
1.890375,0.0086851828,0.28126064,0.043915827
1.895375,0.011460184,0.20686719,0.047092382
1.900375,-0.0086122546,0.19004786,0.065954529
1.905375,-0.0069319392,0.18714879,0.060184732
1.910375,-0.011868761,0.15061276,0.063659064
1.915375,0.0016009983,0.071972162,0.080699816
1.921375,-0.046673514,-0.02439337,0.078270406
1.925375,0.021061221,-0.059585541,0.063721731
1.930375,-0.012966327,-0.068243623,0.045826994
1.935375,0.024096834,-0.10502088,0.045552444
1.940375,0.046018902,-0.11236005,0.040390957
1.945375,0.0074623618,-0.13720644,0.046725042
1.950375,0.048019838,-0.090732403,0.016434336
1.955375,0.067117333,-0.087273724,0.010296904
1.960375,0.066392966,-0.1124567,0.012264449
1.9653749,0.028062748,-0.12018583,0.0004261749
1.9703749,0.044924021,-0.13612854,-0.014981663
1.9753751,0.040668909,-0.15606605,0.0070323786
1.9803751,0.040282942,-0.2116866,0.012161602
1.985375,0.018166341,-0.40734488,-0.031019682
1.990375,0.058574706,-0.40450048,-0.009327855
