XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
28.4;0.019758552;0.032585293;-0.017517608;-0.013807398
28.5;0.019459803;0.031853214;-0.017400727;-0.013195707
28.6;0.019042831;0.030956864;-0.017532354;-0.012572457
28.700001;0.018557167;0.029977443;-0.017928187;-0.01203615
28.799999;0.018058009;0.029031809;-0.018581737;-0.011687957
28.9;0.017588962;0.028252507;-0.019459918;-0.011617806
29;0.017169455;0.027760772;-0.02050277;-0.011887416
29.1;0.01679137;0.02763967;-0.021629127;-0.012514417
29.200001;0.016426077;0.027914671;-0.022748506;-0.013462677
29.299999;0.016039731;0.028547375;-0.023777407;-0.01464301
29.4;0.01561178;0.029444411;-0.024656409;-0.015925966
29.5;0.015150652;0.030479545;-0.025363622;-0.017165022
29.6;0.014701428;0.031523317;-0.0259204;-0.018225245
29.700001;0.01434277;0.032472502;-0.026386973;-0.019010514
29.799999;0.014173668;0.033271901;-0.026848266;-0.019482382
29.9;0.014293536;0.03392306;-0.027392898;-0.019665645
30;0.014780994;0.034478359;-0.02809047;-0.019639205
30.1;0.015598917;0.03484863;-0.02882874;-0.019417603
30.200001;0.016807765;0.035296701;-0.029727329;-0.019216288
30.299999;0.018352289;0.035897147;-0.030723542;-0.019127125
30.4;0.020144984;0.036690392;-0.031723607;-0.019197792
30.5;0.022083281;0.037677497;-0.032623254;-0.019424118
30.6;0.024068063;0.038826264;-0.0333298;-0.019754779
30.700001;0.026019525;0.040085368;-0.03378018;-0.02010598
30.799999;0.027887449;0.041401021;-0.033950638;-0.020381482
30.9;0.029654814;0.042730745;-0.033856351;-0.020492829
31;0.031334959;0.044049837;-0.033542119;-0.02037541
31.1;0.032963935;0.045349475;-0.033067547;-0.019997794
31.200001;0.034590043;0.046627961;-0.032491304;-0.019363822
31.299999;0.036262751;0.047879372;-0.031858847;-0.018508743
31.4;0.038022868;0.049084477;-0.031196406;-0.017491505
31.5;0.039895292;0.050207973;-0.030511828;-0.016385473
31.6;0.041885346;0.051203851;-0.029800752;-0.015269323
31.700001;0.043978944;0.052027624;-0.029055014;-0.014218993
31.799999;0.046146449;0.052651573;-0.028269961;-0.013301086
31.9;0.048349388;0.053077944;-0.027448017;-0.012567608
32;0.050548606;0.0533452;-0.026597597;-0.012052163
32.099998;0.052711986;0.053524621;-0.025728229;-0.011767814
32.200001;0.054819807;0.053707309;-0.024844196;-0.011707013
32.299999;0.056866206;0.053984921;-0.023939572;-0.011843923
32.400002;0.058856059;0.054429274;-0.022997102;-0.012139076
32.5;0.060797919;0.055076577;-0.021992002;-0.012545826
32.599998;0.062694758;0.055920631;-0.020900028;-0.013017471
32.700001;0.064535268;0.056916673;-0.019707644;-0.013513799
32.799999;0.066288561;0.057994455;-0.018421192;-0.01400586
32.900002;0.06790439;0.05907625;-0.017072041;-0.014478267
33;0.06931971;0.060094509;-0.015715681;-0.014928897
33.099998;0.070470624;0.061004143;-0.014424425;-0.015366547
33.200001;0.071306989;0.061786294;-0.013275093;-0.015807319
33.299999;0.071806267;0.062443681;-0.012334546;-0.0162706
