X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.301125,0,-0.0101286
2.305125,0,-0.0069094505
2.311125,0,-0.019432245
2.315125,0,-0.017371921
2.3201251,0,-0.021996111
2.3261249,0,-0.042372297
2.3301251,0,-0.022567101
2.3361249,0,-0.021627998
2.3401251,0,-0.029668249
2.345125,0,-0.010470711
2.351125,0,-0.041289315
2.355125,0,-0.025954535
2.3601251,0,-0.13687037
2.3651249,0,0.040100813
2.3701251,0,0.023258828
2.3761251,0,-0.033291869
2.380125,0,0.038121242
2.3861251,0,0.055952098
2.390125,0,0.017714538
2.3951249,0,0.028735919
2.400625,0,0.01835186
2.4056251,0,0.016964644
2.410625,0,0.0098537179
2.416625,0,0.0089368243
2.420625,0,0.0040223566
2.426625,0,0.0093464674
2.430125,0,0.012221048
2.4351251,0,-0.014717859
2.440125,0,0.00099320756
2.4451251,0,-0.0017831075
2.4511249,0,-0.0055360952
2.4551251,0,0.022349045
2.4611249,0,0.036579039
2.4651251,0,0.0054057976
2.470125,0,0.0053944453
2.476125,0,-0.025856877
2.480125,0,-0.026400883
2.486125,0,-0.015438898
2.4901249,0,-0.010041039
2.4951251,0,-0.014141385
2.5011251,0,-0.026108727
2.505125,0,-0.008033732
2.5111251,0,-0.10121954
2.515125,0,0.361101
2.5201249,0,-0.054826524
2.525125,0,0.024895342
2.5301249,0,-0.083126992
2.5361249,0,-0.10570414
2.5401249,0,0.038886216
2.545125,0,-0.015377125
2.551125,0,0.030586908
2.555125,0,-0.027968511
2.561125,0,0.02638684
2.565125,0,-0.02248197
2.5701251,0,-0.022393225
2.575125,0,0.001096442
2.5801251,0,-0.044499829
2.5861249,0,-0.047015991
2.5901251,0,-0.21928886
2.595125,0,-0.027677687
2.6001251,0,0.020477153
2.605125,0,0.10716904
2.611125,0,-0.020191139
2.6151249,0,0.041533519
2.6201251,0,0.079857081
2.6261251,0,0.038824201
2.630125,0,-0.057212234
2.6361251,0,-0.021090586
2.640125,0,0.080253333
2.6451249,0,-0.0032489635
2.650125,0,0.020685544
2.6551249,0,0.0048871511
2.6611249,0,-0.0030329099
2.6651249,0,0.0061177746
2.670125,0,-0.011410388
2.6751249,0,-0.0060492931
2.680625,0,-0.0099082319
2.6856251,0,-0.017231366
2.6916251,0,-0.010711793
2.6956251,0,-0.020813648
2.7016251,0,-0.033724423
2.7056251,0,-0.0059293858
2.7106249,0,-0.0033419842
2.715625,0,-0.019532004
2.7206249,0,-0.0057992605
2.726625,0,-0.012166294
2.7306249,0,-0.020270446
2.735625,0,-0.012127952
2.7406249,0,-0.0027000818
2.745625,0,-0.0034964799
2.7516251,0,0.023254629
2.755625,0,0.18786292
2.7606249,0,0.041961752
2.765625,0,-0.013230181
2.7706251,0,-0.066262014
2.7766249,0,0.0048093465
2.7806251,0,-0.073037133
2.785625,0,0.024722716
2.791625,0,0.027242636
2.795625,0,-0.012920112
2.801625,0,-0.0097514112
2.805625,0,-0.0017326444
2.8106251,0,0.066083089
2.815625,0,-0.022376439
2.8206251,0,0.0085061956
2.8266251,0,0.0058034412
2.8306251,0,-0.049133267
2.8366251,0,0.011929164
2.8401251,0,-0.00035586132
2.845125,0,0.06774383
2.8501251,0,0.038932249
2.855125,0,0.031590827
2.861125,0,0.022400761
2.8651249,0,0.013308832
2.871125,0,-0.0062028547
2.8751249,0,-0.00093395851
2.880125,0,-0.0097425282
2.8851249,0,0.015934734
2.890125,0,-0.039380785
2.8961251,0,-0.0011639178
2.900125,0,-0.085289016
2.9051249,0,-0.011329651
2.910125,0,-0.0034862226
2.9151249,0,0.040007543
2.9211249,0,-0.032470837
2.9251249,0,-0.11936509
2.930125,0,0.0095161395
2.9351251,0,-0.0020282685
2.940125,0,0.020721171
2.946125,0,0.010626007
2.950125,0,0.025422366
2.9551251,0,0.012604696
2.960125,0,0.0023190812
2.9651251,0,0.0086903647
2.9711249,0,0.0032589266
2.9751251,0,-0.071505584
2.980125,0,0.094717182
2.9851251,0,0.0127044
2.9901249,0,-0.020009713
2.996125,0,0.0065965941
3.0001249,0,-0.018616678
3.005125,0,0.040404867
3.0101249,0,0.017866569
3.015125,0,0.023676731
