X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.0301249,0,-0.012952914
2.035125,0,-0.028114337
2.0411251,0,-0.038693246
2.045125,0,0.012730662
2.051125,0,0.066054747
2.055125,0,-0.011283512
2.0601251,0,-0.0059076175
2.0661249,0,-0.028211318
2.0701251,0,0.0018665066
2.0761249,0,0.013240944
2.0801251,0,0.013912912
2.085125,0,-0.0046014059
2.0901251,0,0.005688739
2.095125,0,-0.010856315
2.101125,0,-0.0050203199
2.105125,0,0.042946123
2.1101251,0,0.0026902154
2.1161251,0,0.010080314
2.1201251,0,-0.0029098075
2.1261251,0,0.0017414455
2.130125,0,-0.013975396
2.1351249,0,-0.00048801483
2.141125,0,-0.0042969375
2.1451249,0,0.0016193321
2.151125,0,0.017735025
2.1551249,0,-0.070820309
2.160125,0,0.0082610575
2.1651249,0,-0.00527712
2.170125,0,0.019263413
2.176125,0,0.0072723851
2.180125,0,0.00093458395
2.1851251,0,0.0028624847
2.1911249,0,0.0022375432
2.1951251,0,0.0023117813
2.2011249,0,-0.0055052596
2.2051251,0,0.0044806306
2.210125,0,-0.00032097189
2.216125,0,-0.0047286316
2.220125,0,0.0035831153
2.226125,0,-0.0024616485
2.230125,0,-0.024934728
2.2351251,0,0.0032929052
2.2401249,0,-0.00085320696
2.2451251,0,0.018898407
2.2511251,0,0.010945735
2.255125,0,0.0076813074
2.2601249,0,0.012480177
2.266125,0,0.0017571147
2.2701249,0,-0.0019562789
2.276125,0,0.016446223
2.2801249,0,0.0029539019
2.285125,0,-4.7903079E-0005
2.2901249,0,0.0025554395
2.295125,0,-0.00099424587
2.301125,0,-0.0023790544
2.305125,0,0.0010213278
2.311125,0,0.0032910493
2.315125,0,0.0031098553
2.3201251,0,-0.0030614191
2.3261249,0,0.0021901694
2.3301251,0,-0.010788454
2.3361249,0,-0.020473303
2.3401251,0,-0.0034392951
2.345125,0,0.00052880932
2.351125,0,0.0061227316
2.355125,0,-0.011793023
2.3601251,0,-0.0011334945
2.3651249,0,0.012308487
2.3701251,0,0.010762066
2.3761251,0,0.00097263767
2.380125,0,0.0098452223
2.3861251,0,0.020898595
2.390125,0,0.0068148472
2.3951249,0,0.012513649
2.400625,0,-0.0092304498
