X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
1.740625,-1.4915094,-13.767416
1.745625,-2.2876701,-5.8784389
1.750625,-2.0546017,2.4270253
1.755625,-2.7201638,9.9183664
1.760625,-2.9565377,16.417856
1.765625,-0.8989743,21.164026
1.770625,0.98902231,23.197872
1.775625,1.2323856,22.122576
1.780625,0.76798034,18.353241
1.785625,0.61976528,12.482924
1.790625,0.65147018,4.9520526
1.795625,0.33020926,-3.6550598
1.800625,-0.51991224,-12.394706
1.805625,-1.1402366,-20.194736
1.810625,-1.3832742,-26.21167
1.815625,-1.5347114,-29.490326
1.8206249,-1.6716614,-29.923046
1.8256249,-1.5432211,-27.999659
1.8306251,-3.4775493,-23.341253
1.8356251,-4.7879696,-16.482691
1.840625,-4.2068992,-8.1933632
1.845625,-3.7405143,0.77406067
1.850625,-4.1194782,10.190254
1.855625,-3.4417889,18.64801
1.860625,-1.8519346,25.204378
1.865625,0.85635084,29.503321
1.870625,5.1822834,31.326675
1.875625,7.0622287,31.135632
1.880625,4.4082799,28.760384
1.885625,1.0584977,24.480684
1.890625,0.56096435,18.703119
1.895625,-0.19472042,12.197303
1.900625,-1.0380684,5.8176947
1.905625,-2.3536792,-0.46758714
1.910625,-5.1109929,-6.0512557
1.915625,-8.2366495,-10.338322
1.920625,-8.5336981,-13.050975
1.925625,-7.1754103,-14.327508
1.930625,-3.4350238,-14.028224
1.935625,0.39366478,-12.277418
1.940625,6.7887669,-9.7388678
1.9456249,7.3589602,-6.3405185
1.9506249,3.1330123,-2.9246671
1.9556251,0.66793591,-0.044001717
1.9606251,-0.93502837,2.1919665
1.965625,0.052049652,4.4156542
1.970625,1.097415,6.0627069
1.975625,3.2747695,6.308063
1.980625,1.896984,6.145812
1.985625,-0.6186617,6.032095
1.990625,-1.2171462,5.4241543
1.995625,-0.036009245,3.7481289
2.0006249,0.82585764,1.7872152
2.005625,1.2346054,0.33280769
2.0106249,2.448128,-0.71253705
2.015625,5.4026599,-1.453676
2.0206251,7.6732283,-1.6423568
2.025625,7.8492699,-1.0877759
2.0306251,6.7492256,-0.12149999
2.035625,5.5933771,0.75346607
2.0406251,4.526701,1.245886
2.045625,3.4466715,1.5221869
2.0506251,2.7247345,1.4186705
2.055625,2.5064201,0.81116837
2.0606251,2.3820629,-0.19862829
2.065625,3.6508567,-1.2253362
2.0706251,2.9406223,-2.648988
2.0756249,0.26225787,-3.9676161
2.0806251,-2.0382667,-4.7048035
2.0856249,-3.4718332,-4.9602356
2.090625,-4.6911654,-5.0557337
2.0956249,-5.7192793,-5.078434
2.100625,-8.3347025,-5.0725164
2.1056249,-6.8983793,-4.4712191
2.110625,-3.3451474,-3.8841312
2.1156249,-5.88203,-4.0534849
2.120625,-5.240252,-3.4743888
2.1256249,-0.88014215,-2.5438337
2.130625,1.7589306,-2.1171136
2.1356249,2.5318699,-2.0827348
2.140625,3.0595305,-1.9439154
2.1456251,3.7441051,-1.4914171
2.150625,3.8868697,-0.88772672
2.1556251,2.5515938,-0.43994224
2.160625,0.51704365,-0.053870421
2.1656251,-0.26091221,0.65528446
2.170625,0.65913934,1.3377129
2.1756251,-0.29369971,1.5782377
2.180625,-1.702361,1.4709564
2.1856251,-3.2626367,1.044165
2.190625,-3.0223315,0.55750978
2.1956251,-0.91823405,-0.42793816
2.2006249,0.68560696,-2.1585557
2.2056251,1.2846547,-4.3220377
2.2106249,2.0429077,-6.3351107
2.215625,3.0197549,-7.9712095
2.2206249,3.6449966,-9.2800369
2.225625,3.6991324,-10.143547
2.2306249,3.2993412,-10.185908
2.235625,2.624233,-9.1217794
2.2406249,1.8387564,-6.9667788
2.245625,0.74417835,-3.7273099
2.2506249,-2.1725159,0.6105243
2.255625,-8.4091396,5.8147502
2.2606249,-11.946214,10.785258
2.265625,-14.084192,15.137444
2.2706251,-16.309608,18.250635
2.275625,-18.43647,19.65727
2.2806251,-18.287672,19.009068
2.285625,-14.694151,16.336142
2.2906251,-9.114851,12.27228
2.295625,-2.669229,7.3343635
2.3006251,3.0978658,1.8297106
2.305625,7.4859834,-3.8914514
2.3106251,10.983317,-9.6414728
2.315625,12.279924,-14.705744
2.3206251,9.6025457,-18.65638
2.3256249,5.8216023,-21.441921
2.3306251,4.6421871,-23.149908
2.3356249,1.8892102,-22.426874
2.340625,-3.0903635,-19.410744
2.3456249,-3.8044417,-15.016464
2.350625,-1.7557464,-9.3694839
2.3556249,-0.19098116,-2.5847135
2.360625,0.55386049,4.6925206
2.3656249,1.4914914,11.739521
2.370625,2.3389316,18.052641
2.3756249,2.9768937,23.14509
2.380625,6.429605,27.069113
2.3856249,8.6512423,28.717789
2.390625,10.480382,27.272449
2.3956251,10.734644,23.748552
2.400625,11.455941,19.05538
2.4056251,13.092348,13.249237
2.410625,13.094113,6.6718707
2.4156251,10.509649,0.53978431
2.420625,6.2443566,-4.4189305
2.4256251,1.3651221,-8.3084068
2.430625,-3.289705,-11.36743
