XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),
2.4558749,0,0.016031561
2.460875,0,0.019527622
2.4668751,0,-0.00024253514
2.470875,0,0.012588482
2.4758749,0,-0.021872984
2.480875,0,0.00852858
2.4858749,0,-0.0057313736
2.4918749,0,0.0031175879
2.4958749,0,-0.0023358995
2.5018749,0,0.068825126
2.5058751,0,-0.015405537
2.510875,0,-0.0089373952
2.516875,0,-0.022658722
2.520875,0,0.0070540821
2.526875,0,-0.015263559
2.530875,0,0.010024733
2.5358751,0,-0.039057039
2.5418749,0,-0.0048305001
2.5458751,0,-0.013475847
2.5518751,0,-0.007132093
2.5558751,0,-0.0021406335
2.5608749,0,-0.00079067849
2.5658751,0,0.0046070563
2.5708749,0,0.011244187
2.576875,0,0.0066131558
2.5808749,0,0.015600841
2.585875,0,0.015877435
2.5908749,0,0.013604705
2.595875,0,0.01516137
2.6018751,0,0.015764406
2.605875,0,-0.0018012618
2.6108749,0,0.025478475
2.6168749,0,0.009342188
2.6208749,0,0.00069401105
2.6268749,0,0.010325691
2.6308751,0,-0.02431123
2.6368749,0,0.029530525
2.6408751,0,-0.0067399452
2.645875,0,-0.0088448534
2.651875,0,-0.025199631
2.655875,0,-0.004286442
2.661875,0,0.0076181279
2.665875,0,-0.02810647
2.6708751,0,-0.0046906956
2.6768751,0,-0.02561041
2.6808751,0,0.0018047538
2.6868751,0,0.013478681
2.6908751,0,-0.0052520442
2.695375,0,-0.0057708225
2.7003751,0,-0.0042803092
2.705375,0,0.0080762953
2.711375,0,0.00043811477
2.7153749,0,0.0037491207
2.721375,0,0.0075883972
2.7253749,0,0.053691432
2.7303751,0,-0.003719487
2.7353749,0,0.018487534
2.740875,0,0.0098013422
2.7458749,0,-0.0047845864
2.7518749,0,-0.012653233
2.7558751,0,0.0095694782
2.7618749,0,0.023468027
2.7658751,0,-0.043057345
2.770875,0,-0.0027583584
2.776875,0,-0.0051722592
2.780875,0,-0.010048282
2.786875,0,-0.024726072
2.790875,0,0.01246532
2.7953751,0,-0.0053260094
2.800375,0,-0.0019369952
2.8053751,0,-0.025516151
2.810375,0,0.0048666373
2.8153751,0,-0.0086771641
2.8213749,0,0.0044416492
2.8253751,0,0.0091998894
2.830375,0,0.0018550965
2.8353751,0,0.0010428447
2.8403749,0,0.00016990938
2.846375,0,-0.0042542452
2.8503749,0,0.0091066072
2.8553751,0,0.0012817174
2.8603749,0,0.0020743252
2.865375,0,0.001451836
2.8713751,0,0.0023852824
2.875375,0,0.01302507
2.8803749,0,0.013143376
2.885375,0,0.003851448
2.8903749,0,0.006370367
2.8963749,0,-0.0084034447
2.9003749,0,0.012467036
2.905375,0,-0.004214183
2.9103751,0,0.024434427
2.915375,0,0.0077409712
2.921375,0,-0.014182628
2.925375,0,0.0038355575
2.931375,0,0.013244838
2.935375,0,0.0066196714
2.9403751,0,-0.00027113169
2.9463749,0,0.0071875365
2.9503751,0,-0.0037590086
2.9563749,0,0.016241625
2.9603751,0,0.0080415243
2.9653749,0,-0.0015398406
2.971375,0,0.0023670904
2.9753749,0,-0.0069619352
2.981375,0,-0.0024479204
2.9853749,0,-0.0040068496
2.990375,0,-0.0021454969
2.9963751,0,-0.0031896718
3.000375,0,0.0057081524
3.0063751,0,-0.0031897894
3.010375,0,-3.7508813E-0005
3.0153749,0,-0.0037957926
3.020875,0,-0.0026473952
3.0258751,0,-0.0016848474
3.030875,0,-0.00096005527
3.036875,0,-0.00119137
3.040875,0,-0.011160705
3.0458751,0,0.068497017
3.0508749,0,-0.003390339
3.0558751,0,0.0049861339
3.0618751,0,0.002586562
3.0658751,0,-0.0087277973
3.0718751,0,-0.0046286648
3.075875,0,0.0019132723
3.0808749,0,-0.0026715763
3.086875,0,0.0083215311
3.0908749,0,-0.01489176
3.096875,0,0.083372496
3.1008749,0,-0.02175363
3.105875,0,0.0031433851
3.1118751,0,0.00039427407
3.115875,0,0.0088101234
3.121875,0,-0.023528021
3.125875,0,0.038619861
3.1308751,0,0.042168561
3.1368749,0,0.0032649259
3.1408751,0,-0.029684201
3.1468749,0,0.024572635
3.1508751,0,0.009886181
3.1568749,0,-0.0028764396
3.1603751,0,-0.0036905413
3.165375,0,0.0032062291
3.1703751,0,-0.0042014555
3.175375,0,1.2872219E-0005
3.181375,0,0.0083869286
3.185375,0,-0.0075987852
3.191375,0,-0.004426213
3.195375,0,0.014212488
3.2003751,0,0.0026249564
3.2058749,0,0.022886405
3.210875,0,-0.015053825
3.2158749,0,0.037143193
3.221875,0,0.014351257
3.2258749,0,-0.025948137
3.2318749,0,-0.0029244879
3.2353749,0,0.0046270024
3.240375,0,0.013793705
3.2453749,0,-0.011084404
3.250375,0,0.0067630387
3.2563751,0,-0.0073652901
3.260375,0,0.0043485141
3.2663751,0,-0.0021516006
3.270375,0,-0.017327689
3.2753749,0,-0.0017131065
3.280375,0,-0.0014677813
3.2853751,0,-0.0036931918
3.2913749,0,0.00070591772
3.2953751,0,-0.0043414519
3.300375,0,3.4508994E-0005
3.3053751,0,-0.0037178695
3.310375,0,0.0049760104
3.316375,0,0.0016277957
3.320375,0,0.0015448151
3.3253751,0,-0.0028114445
3.330375,0,0.0016362569
3.3353751,0,0.00056486018
3.3413751,0,-0.01585274
3.3453751,0,0.0560681
3.3503749,0,-0.0039384132
3.3553751,0,0.0031119888
3.3603749,0,-0.012248705
3.366375,0,-0.017971614
3.3703749,0,0.041106246
3.375375,0,-0.0048409291
3.3813751,0,0.0041565532
3.385375,0,-0.010136401
3.3913751,0,-0.015238165
3.395375,0,8.15354E-0005
3.4003749,0,-0.0037412297
3.405375,0,-0.0027749988
3.4103751,0,-0.00077861169
3.4163749,0,0.0049267784
3.4203751,0,0.070030876
3.425375,0,0.018408207
3.4303751,0,-0.0035646972
3.435375,0,-0.034666151
3.441375,0,-0.0026826337
3.445375,0,0.0022815885
3.4503751,0,0.0061132652
3.455375,0,-0.0020139341
3.4603751,0,-0.0078301523
3.4663751,0,-0.010050653
3.4703751,0,-0.042338736
3.4753749,0,-0.017131072
3.4803751,0,0.0038008834
3.4853749,0,0.0030243122
3.491375,0,0.0091676135
3.4953749,0,-0.0054369532
3.500375,0,0.013398536
3.5053749,0,0.0058128829
3.510375,0,0.0063274256
3.5163751,0,0.0066823554
3.520375,0,0.0089769447
3.5253749,0,0.0038029552
3.530375,0,0.0051762299
3.5353751,0,0.00034440259
3.5413749,0,0.0002630715
3.5453751,0,0.01655533
3.550375,0,-0.0088968314
3.5553751,0,-0.0064997114
3.560375,0,-0.0076016318
3.566375,0,-0.0058576828
3.570375,0,0.0064089866
3.576375,0,-0.015080919
3.580375,0,0.0023754733
3.585875,0,-0.017615335
3.5908749,0,-0.017938083
3.596875,0,-0.01382675
3.6008749,0,-0.001083385
3.6068749,0,-0.013281994
3.6108749,0,0.011763513
3.615875,0,-0.00249766
3.621875,0,0.012762772
3.625875,0,-0.001605664
3.631875,0,-0.014664353
3.635875,0,0.0027275875
3.6408751,0,0.012276967
3.6468749,0,0.011810716
3.6508751,0,0.011977828
3.6568749,0,0.017073942
3.6608751,0,0.011926566
3.665875,0,0.012339896
3.6708751,0,0.0083571589
3.6758749,0,0.0034130469
3.681875,0,-0.012482222
3.6858749,0,-0.063754171
3.6908751,0,0.0018263552
3.6958749,0,0.0014222844
3.700875,0,0.023017284
3.7068751,0,-0.016866552
3.710875,0,0.019084895
3.7158749,0,0.0035059066
3.721875,0,-0.017939601
3.7258749,0,0.0045016278
3.7318749,0,0.0025768918
3.7358749,0,-0.01446344
3.7418749,0,-0.034955628
3.7458749,0,0.0012297054
3.750875,0,-0.0035625182
3.756875,0,0.01011621
3.760875,0,-0.0083716381
3.7658751,0,0.053866256
3.770875,0,-0.006763442
3.7758751,0,0.0052852542
3.7818749,0,0.011147294
3.7858751,0,0.0042346218
3.7918749,0,-0.019544233
3.7958751,0,0.0069197211
3.8008749,0,0.0097357705
3.806875,0,0.023971196
3.8108749,0,-0.0052739233
3.8158751,0,-0.020698819
3.8208749,0,0.0089163277
3.825875,0,0.0032518753
3.8318751,0,-0.0043174378
3.835875,0,0.0035822387
3.8418751,0,0.023599595
3.845875,0,0.0031589859
3.8508749,0,-0.010158375
3.8568749,0,-0.0070101963
3.8608749,0,-0.014326673
3.8668749,0,-0.019814027
3.8708749,0,-0.012029145
3.875875,0,-0.0072418903
3.8808751,0,-0.011286477
