X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.8651249,0,-0.0015959444
2.8701251,0,0.008156091
2.8751249,0,-0.0048527708
2.881125,0,-0.030189669
2.8851249,0,0.014018178
2.891125,0,0.023077721
2.8951249,0,-0.0055407495
2.901125,0,0.0035831637
2.9051249,0,0.0066577313
2.910625,0,0.00069852843
2.9156251,0,0.0028275801
2.9216249,0,0.0017426936
2.9256251,0,-0.00070973678
2.9316249,0,-0.0010573359
2.9356251,0,-0.014213223
2.9416251,0,-0.089118384
2.9456251,0,0.0012606508
2.9506249,0,-0.0019714627
2.956625,0,0.034765702
2.9606249,0,-0.017154617
2.965625,0,0.00022176003
2.9706249,0,0.0066329343
2.975625,0,-0.0061945077
2.9816251,0,0.0032400351
2.985625,0,0.0045230524
2.9916251,0,0.018391529
2.995625,0,-0.044061974
3.0006249,0,-0.0012073156
3.005625,0,0.0009065803
3.0106249,0,-0.0067885579
3.0166249,0,-0.016790526
3.0206251,0,-0.038456395
3.025625,0,0.0030143063
3.031625,0,0.0058544064
3.035625,0,-0.0068548219
3.041625,0,-0.011824022
3.045625,0,-0.024863368
3.0506251,0,0.016463839
3.055625,0,-0.028349724
3.0606251,0,-0.0049230345
3.0666251,0,0.0035747571
3.0706251,0,0.0030054527
3.0756249,0,-0.014132529
3.0806251,0,0.0098586781
3.0856249,0,-0.0048369742
3.091625,0,-0.01355014
3.0956249,0,-0.00029763122
3.101625,0,0.0072854231
3.1056249,0,0.0069699134
3.110625,0,0.0093109626
3.1166251,0,-0.007853712
3.120625,0,0.0069625089
3.1266251,0,0.05078543
3.130625,0,-0.02079002
3.1356249,0,0.0097881062
3.1416249,0,-0.02993308
3.1456251,0,0.018534636
3.150625,0,-0.030345328
3.1556251,0,-0.0068374733
3.160625,0,-0.0062142978
3.166625,0,-0.016115261
3.170625,0,-0.0056625376
3.176625,0,3.8964645E-0005
3.180625,0,-0.0073374812
3.1856251,0,-0.011066484
3.1916251,0,-0.0030970594
3.1956251,0,-0.014630238
3.2006249,0,-0.031981505
3.2056251,0,0.015456788
3.2106249,0,0.0034923025
3.216625,0,0.003937067
3.2206249,0,-0.0020306741
3.226625,0,0.022494832
3.2306249,0,-0.0067433482
3.2351251,0,0.031288054
3.2401249,0,0.016530128
3.2451251,0,0.0065701157
3.2511251,0,-0.012164189
3.255125,0,0.018393535
3.2611251,0,0.014196761
3.265125,0,-0.013893485
3.2701249,0,0.0085554598
3.275125,0,0.0015088435
3.2801249,0,-0.0022424404
3.2861249,0,-0.016980981
3.2901249,0,-0.022970475
3.295125,0,-0.023587383
3.3001249,0,0.00059763028
3.305125,0,0.0014133453
3.311125,0,-0.0088507012
3.315125,0,-0.028500291
3.3201251,0,0.011983783
3.325125,0,0.0045791198
3.3301251,0,-0.00071700197
3.3361249,0,0.00045443323
3.3401251,0,0.019145263
3.345125,0,0.0051093167
3.3501251,0,0.0019937884
3.355125,0,0.0040396661
3.361125,0,-0.0010898567
3.3651249,0,-0.016068455
3.3701251,0,0.013582475
3.3751249,0,0.0052187131
3.380125,0,0.0019471275
3.3861251,0,-0.0019601283
3.390125,0,0.013495566
3.3951249,0,-0.0014798881
3.400125,0,-0.0024814613
3.4051249,0,-0.00037786123
3.4111249,0,-0.0053862529
3.4151249,0,-0.019603575
3.4211249,0,0.0094725145
3.4251249,0,-0.029723793
3.430625,0,-0.026912019
3.4356251,0,-0.013629778
3.4416251,0,0.0020404018
3.4456251,0,-0.008489144
3.4516251,0,-0.0046072095
3.4556251,0,-0.014030822
3.4606249,0,-0.0059774891
3.465625,0,-0.0014500847
3.4706249,0,0.0011736688
3.476625,0,0.0023555427
3.4806249,0,-0.016063878
3.485625,0,0.043719891
3.4906249,0,0.00010770035
3.495625,0,0.0059736315
3.5016251,0,0.01467894
3.505625,0,0.017686814
3.5116251,0,0.056206081
3.515625,0,-0.00073658186
3.5206251,0,0.0015405825
3.5266249,0,-0.014214207
3.5306251,0,-0.0054956418
3.535625,0,-0.0075424938
3.5406251,0,-0.012634664
3.545625,0,0.0032395241
3.551625,0,0.0026661763
3.555625,0,-0.0012327168
3.561625,0,-0.015372935
3.565625,0,-0.010380664
3.5706251,0,-0.0043742754
3.5766251,0,-0.012523873
3.5806251,0,0.014755507
3.5866251,0,0.089021422
3.590625,0,-0.0053878911
3.5956249,0,0.0010706953
3.601625,0,-0.03190764
3.6056249,0,0.011174812
3.610625,0,-0.031123463
3.6156249,0,-0.033702616
3.620625,0,0.007277274
3.6266251,0,-0.00019604671
3.630625,0,0.0064353058
3.6366251,0,0.007084365
3.640625,0,0.0025721157
3.6456251,0,0.0061493991
3.6516249,0,0.014935116
3.6556251,0,0.0070379945
3.6616249,0,0.030814761
3.6656251,0,0.0084521528
3.670625,0,0.0013280688
3.676625,0,-0.012933016
3.680625,0,0.011916564
3.686625,0,0.019415997
3.690625,0,-0.026082758
3.6956251,0,0.0029206977
3.7016251,0,-0.024990791
3.7056251,0,0.0061815223
3.7106249,0,0.063274637
3.715625,0,-0.0082011241
3.7206249,0,-0.0065029436
3.726625,0,0.0045663142
3.7306249,0,-0.0083783437
3.736625,0,-0.024050953
3.7406249,0,0.043155186
3.745625,0,0.0067231585
3.7516251,0,-0.0067722187
3.755625,0,0.0068846704
3.7616251,0,0.0016770584
3.765625,0,-0.052687038
3.7706251,0,0.006373472
3.7766249,0,-0.0057043224
3.7806251,0,0.0084836297
3.7866249,0,0.0062070065
3.7906251,0,-0.032640144
3.795625,0,0.004521051
3.8006251,0,-0.00051066495
3.805625,0,0.01204405
3.811625,0,0.025275836
3.815625,0,-0.037602939
3.8206251,0,0.0055605709
3.8266251,0,-0.012858694
3.8306251,0,0.01543404
3.8366251,0,0.019439457
3.840625,0,-0.028059797
3.8456249,0,0.012505932
3.850625,0,0.0028195188
3.8556249,0,0.0060474011
3.861625,0,-0.017759167
3.8656249,0,-0.017328627
3.870625,0,-0.0064954967
3.8756249,0,0.0037323162
3.880625,0,0.0065088528
3.8866251,0,-0.0063330377
3.890625,0,-0.003444799
3.8956251,0,0.00047338341
3.9016249,0,0.0025059143
3.9056251,0,-0.0011798312
3.9116249,0,-0.005804853
3.9156251,0,0.013109033
3.920625,0,-0.0037544786
3.9251249,0,2.0218954E-0006
3.930125,0,-0.0095526744
3.9351251,0,-0.0014794925
3.940125,0,0.016418099
3.946125,0,-0.0021043245
3.950125,0,-0.021374354
3.956125,0,-0.063040607
3.960125,0,0.010035736
3.9651251,0,0.0067919493
3.9711249,0,0.027428608
3.9751251,0,-0.0053104879
3.980125,0,0.02049423
3.9851251,0,0.014057819
3.9901249,0,0.0026482628
3.996125,0,0.009222771
4.0001249,0,0.010614796
4.005125,0,-0.0038112749
4.0101252,0,0.0025139058
4.0151248,0,-0.0014202507
4.0211248,0,0.00048515439
4.025125,0,-0.011298954
4.0311251,0,0.00962843
4.0351248,0,-0.0090209004
4.0401249,0,-0.010021974
4.0456252,0,0.0040342747
4.0506248,0,-0.017136576
4.055625,0,-0.0072244722
4.061625,0,-0.0041669137
4.0656252,0,-0.01773726
4.0716252,0,-0.018485758
4.0756249,0,-0.0096054692
4.0806251,0,-0.0030711826
4.0866251,0,0.00025755441
4.0906248,0,-0.0012849744
4.0966249,0,0.019989135
4.100625,0,-0.0013136017
4.105125,0,0.0040494902
4.1101251,0,0.0083556157
4.1151252,0,0.0050280769
4.1211252,0,0.0039231591
4.1251249,0,0.0065348926
4.130125,0,0.015141829
4.1351252,0,-0.011587725
4.1401248,0,-0.0040469654
4.1461248,0,0.0025993728
4.150125,0,0.0065221759
4.1551251,0,0.031285327
4.1601248,0,-0.0043378239
4.1651249,0,0.00019918451
4.1711249,0,0.0068703806
4.1751251,0,0.0014982743
4.1811252,0,-0.0063285115
4.1851249,0,-0.00090600731
4.190125,0,0.0021394906
4.196125,0,0.0011747348
4.2001252,0,0.00013231003
4.2061248,0,-0.00088111876
4.210125,0,0.0017628344
4.2151251,0,-0.0035431769
4.2206249,0,0.015507547
4.225625,0,-0.021016758
4.2306252,0,0.029416969
4.2366252,0,0.0084362095
4.2406249,0,-0.036670208
4.2466249,0,-0.0071158274
4.2506251,0,-0.010834041
4.2556248,0,-0.0011360627
4.2616248,0,0.00010319929
4.265625,0,0.0033961018
4.271625,0,-0.027635019
4.2756252,0,0.021512188
4.2806249,0,0.0013359444
4.2866249,0,0.026401626
4.2906251,0,-0.0061797155
4.2956252,0,0.049970698
4.3006248,0,0.0067918533
4.305625,0,0.0075948224
4.311625,0,0.015284283
4.3156252,0,0.0062971055
4.3216252,0,0.0045598955
4.3256249,0,0.0037948277
4.3301249,0,0.0019678101
4.335125,0,-0.012129354
4.3401251,0,0.0022237201
4.3461251,0,0.00033494047
4.3501248,0,-0.0063264258
4.3561249,0,-0.0070754848
4.3601251,0,0.0032235223
4.3651252,0,-0.00683928
4.3701248,0,-0.0086346632
4.3751249,0,-0.015305775
4.381125,0,0.0021428971
4.3851252,0,0.048459925
4.3901248,0,0.0025171421
4.3951249,0,-0.0089600915
4.400125,0,-0.030605458
4.4061251,0,-0.00011862733
4.4101248,0,-0.011593761
4.4151249,0,0.0046201576
4.4211249,0,0.012012039
4.4251251,0,-0.0055356133
4.4311252,0,0.0045114942
4.4351249,0,-0.021998025
4.440125,0,0.0073813451
4.446125,0,0.0065425136
4.4501252,0,0.012803206
4.4561248,0,0.015638845
4.460125,0,0.010649464
