X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.9606249,0,-0.044971507
2.965625,0,-0.033932596
2.9706249,0,-0.00026531564
2.975625,0,-0.029996647
2.9816251,0,-3.4946272E-0005
2.985625,0,0.019758303
2.9916251,0,0.0047443602
2.995625,0,0.019006176
3.0006249,0,0.00010979143
3.005625,0,0.013985218
3.0106249,0,-0.0078940084
3.0166249,0,0.042852033
3.0206251,0,0.057979889
3.025625,0,-0.0085395118
3.031625,0,-0.03470438
3.035625,0,-0.00087105297
3.041625,0,0.0095728738
3.045625,0,0.014090385
3.0506251,0,0.10597962
3.055625,0,-0.060038459
3.0606251,0,0.015888041
3.0666251,0,-0.012007783
3.0706251,0,0.033998098
3.0756249,0,0.062752448
3.0806251,0,-0.054226603
3.0856249,0,0.12976736
3.091625,0,0.046111695
3.0956249,0,-0.11073462
3.101625,0,-0.049421631
3.1056249,0,-0.0024733122
3.110625,0,-0.0043361248
3.1166251,0,0.02477907
3.120625,0,-0.0042269072
3.1266251,0,0.051928569
3.130625,0,-0.072866149
3.1356249,0,0.016532868
3.1416249,0,-0.0071922103
3.1456251,0,-0.0041999002
3.150625,0,0.098340429
3.1556251,0,-0.022110257
3.160625,0,0.0044895411
3.166625,0,0.0057645668
3.170625,0,0.0042859428
3.176625,0,0.032429855
3.180625,0,-1.7819131E-0005
3.1856251,0,0.012467345
3.1916251,0,0.039239794
3.1956251,0,-0.0059258873
3.2006249,0,0.070677489
3.2056251,0,-0.0082077133
3.2106249,0,0.008980168
3.216625,0,-0.0034820926
3.2206249,0,0.035963353
3.226625,0,-0.0035315654
3.2306249,0,-0.034811683
3.2351251,0,0.086912625
3.2401249,0,0.06982138
3.2451251,0,-0.020057874
3.2511251,0,-0.063526019
3.255125,0,0.02062192
3.2611251,0,-0.012016215
3.265125,0,0.0028970453
3.2701249,0,-0.016584607
3.275125,0,-0.0050473693
3.2801249,0,-0.0034000578
3.2861249,0,0.0063099135
3.2901249,0,0.044127565
3.295125,0,-0.04678797
3.3001249,0,-0.0086589949
3.305125,0,-0.019707762
3.311125,0,0.0092044007
3.315125,0,0.025936779
3.3201251,0,-0.0054458589
3.325125,0,-0.0022663195
3.3301251,0,-0.00799252
3.3361249,0,-0.010580508
3.3401251,0,-0.0076823211
3.345125,0,-0.0050868867
3.3501251,0,0.0019928885
3.355125,0,0.0013648437
3.361125,0,0.009002761
3.3651249,0,0.047305789
3.3701251,0,0.0044047586
3.3751249,0,0.010880741
3.380125,0,-0.0017490102
3.3861251,0,0.0036156438
3.390125,0,-0.029398309
3.3951249,0,-0.019298142
3.400125,0,0.00095305569
3.4051249,0,-0.00012731701
3.4111249,0,0.0097245434
3.4151249,0,0.013783916
3.4211249,0,0.03869487
3.4251249,0,-0.076533787
3.430625,0,-0.0431966
3.4356251,0,0.02210078
3.4416251,0,0.063980907
3.4456251,0,-0.036841016
3.4516251,0,-0.019174471
3.4556251,0,0.0099661844
3.4606249,0,-0.0089542875
3.465625,0,-0.003703668
3.4706249,0,0.0024172044
3.476625,0,0.010139218
3.4806249,0,-0.0099362163
3.485625,0,0.15878616
3.4906249,0,-0.01855745
3.495625,0,-0.0024609368
3.5016251,0,0.01488396
3.505625,0,-0.028861491
3.5116251,0,-0.13045511
3.515625,0,0.026999183
3.5206251,0,-0.026503196
3.5266249,0,0.039975837
3.5306251,0,0.0038898354
3.535625,0,0.041501664
3.5406251,0,0.0049464698
3.545625,0,0.012739555
3.551625,0,-0.010202972
3.555625,0,-0.019612534
3.561625,0,-0.044064026
3.565625,0,0.0022228051
3.5706251,0,0.0067572976
3.5766251,0,0.0081417998
3.5806251,0,-0.015043234
3.5866251,0,-0.017024135
3.590625,0,0.014159613
3.5956249,0,-0.009465009
3.601625,0,-0.0022719982
3.6056249,0,0.0031664916
3.610625,0,0.023332326
3.6156249,0,0.045491971
3.620625,0,-0.015312024
3.6266251,0,-0.014202569
3.630625,0,0.028866217
3.6366251,0,-0.0050028749
3.640625,0,-0.0081428131
3.6456251,0,-0.0011802908
3.6516249,0,-0.014089834
3.6556251,0,-0.012062679
3.6616249,0,0.12295494
3.6656251,0,0.0047686244
3.670625,0,-0.015325915
3.676625,0,-0.065644965
3.680625,0,0.021321462
3.686625,0,0.063386701
3.690625,0,-0.10424996
3.6956251,0,0.02065213
3.7016251,0,-0.11557323
3.7056251,0,0.048802208
3.7106249,0,0.1233001
3.715625,0,-0.015349429
3.7206249,0,-0.011848078
3.726625,0,0.018707706
3.7306249,0,-0.022411041
3.736625,0,-0.084244788
3.7406249,0,0.15673834
3.745625,0,0.0037376587
3.7516251,0,0.011527538
3.755625,0,0.0068598068
3.7616251,0,0.11807185
3.765625,0,-0.12459628
3.7706251,0,0.017615687
3.7766249,0,0.0069498844
3.7806251,0,-0.0022092224
3.7866249,0,0.017818224
3.7906251,0,0.022582721
3.795625,0,-0.00097517704
3.8006251,0,0.016895162
3.805625,0,-0.036380723
3.811625,0,-0.034275256
3.815625,0,0.074851997
3.8206251,0,-0.0063671633
3.8266251,0,0.030692391
3.8306251,0,-0.019800091
3.8366251,0,0.0092231287
3.840625,0,-0.077061415
3.8456249,0,0.010991956
3.850625,0,-0.015468275
3.8556249,0,-0.012562123
3.861625,0,-0.048436988
3.8656249,0,-0.11726484
3.870625,0,-0.026965752
3.8756249,0,-0.00093846559
3.880625,0,0.006386348
3.8866251,0,-0.029159479
3.890625,0,0.073996991
3.8956251,0,-0.0036567089
3.9016249,0,0.0011096234
3.9056251,0,0.01459092
3.9116249,0,0.028825402
3.9156251,0,0.046552658
3.920625,0,-0.0035788508
